#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Dec 02 03:59:20 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       schem_map.ncd
#OUTPUT FILE:      schem_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P30,,,VCCAUX,,,,,,,,2.5,,,,
P31,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P32,,DIFFM,IO_L09P_3,UNUSED,,3,,,,,,,,,
P33,,DIFFS,IO_L09N_3,UNUSED,,3,,,,,,,,,
P34,,DIFFM,IO_L10P_3,UNUSED,,3,,,,,,,,,
P35,,DIFFS,IO_L10N_3,UNUSED,,3,,,,,,,,,
P36,,IBUF,IP,UNUSED,,3,,,,,,,,,
P37,,,GND,,,,,,,,,,,,
P38,,IBUF,IP,UNUSED,,2,,,,,,,,,
P39,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
P40,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P41,,IBUF,IP,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,any******,,,,
P43,,DIFFM,IO_L02P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
P44,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P45,,,VCCINT,,,,,,,,1.2,,,,
P46,,,GND,,,,,,,,,,,,
P47,,DIFFMI,IP_L03P_2,UNUSED,,2,,,,,,,,,
P48,,DIFFSI,IP_L03N_2/VREF_2,UNUSED,,2,,,,,,,,,
P49,,,VCCO_2,,,2,,,,,any******,,,,
P50,,DIFFM,IO_L04P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
P51,,DIFFS,IO_L04N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
P52,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P53,,DIFFM,IO_L05P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
P54,,DIFFS,IO_L05N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
P55,,,GND,,,,,,,,,,,,
P56,,DIFFMI,IP_L06P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P57,,DIFFSI,IP_L06N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
P58,,DIFFM,IO_L07P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
P59,,DIFFS,IO_L07N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P60,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
P61,,,GND,,,,,,,,,,,,
P62,,DIFFM,IO_L08P_2/M0,UNUSED,,2,,,,,,,,,
P63,,DIFFS,IO_L08N_2/DIN/D0,UNUSED,,2,,,,,,,,,
P64,,,VCCO_2,,,2,,,,,any******,,,,
P65,,,VCCAUX,,,,,,,,2.5,,,,
P66,,IBUF,IP/VREF_2,UNUSED,,2,,,,,,,,,
P67,,DIFFM,IO_L09P_2/VS2/A19,UNUSED,,2,,,,,,,,,
P68,,DIFFS,IO_L09N_2/VS1/A18,UNUSED,,2,,,,,,,,,
P69,,IBUF,IP,UNUSED,,2,,,,,,,,,
P70,,DIFFM,IO_L10P_2/VS0/A17,UNUSED,,2,,,,,,,,,
P71,,DIFFS,IO_L10N_2/CCLK,UNUSED,,2,,,,,,,,,
P72,,,DONE,,,,,,,,,,,,
P73,,,GND,,,,,,,,,,,,
P74,A0,IBUF,IO_L01P_1/A16,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P75,A6,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P76,B2,IBUF,IO_L02P_1/A14,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P77,B7,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P78,A7,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P79,,,VCCO_1,,,1,,,,,2.50,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,S8,IOB,IO_L03P_1/A12,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P82,A5,IBUF,IO_L03N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P83,A12,IBUF,IO/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P84,A10,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P85,A13,IBUF,IO_L04P_1/A10/RHCLK0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P86,B6,IBUF,IO_L04N_1/A9/RHCLK1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P87,S7,IOB,IO_L05P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P88,S5,IOB,IO_L05N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P89,A4,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P90,,,GND,,,,,,,,,,,,
P91,B8,IBUF,IO_L06P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P92,A9,IBUF,IO_L06N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P93,S6,IOB,IO_L07P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P94,B5,IBUF,IO_L07N_1/A3/RHCLK7,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P95,B0,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P96,S2,IOB,IO_L08P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P97,S11,IOB,IO_L08N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P98,A11,IBUF,IO/A0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P99,,,GND,,,,,,,,,,,,
P100,,,VCCO_1,,,1,,,,,2.50,,,,
P101,B11,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P102,,,VCCAUX,,,,,,,,2.5,,,,
P103,B1,IBUF,IO_L09P_1/HDC,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P104,S13,IOB,IO_L09N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P105,S9,IOB,IO_L10P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P106,B14,IBUF,IO_L10N_1/LDC2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P107,B12,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P108,,,TMS,,,,,,,,,,,,
P109,,,TDO,,,,,,,,,,,,
P110,,,TCK,,,,,,,,,,,,
P111,C0,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P112,B9,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P113,S12,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P114,B10,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P115,,,VCCINT,,,,,,,,1.2,,,,
P116,V,IOB,IO_L02P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P117,B3,IBUF,IO_L02N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P118,,,GND,,,,,,,,,,,,
P119,A3,IBUF,IP_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P120,A1,IBUF,IP_L03N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P121,,,VCCO_0,,,0,,,,,2.50,,,,
P122,S4,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P123,A2,IBUF,IO_L04N_0/GCLK5,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P124,C,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P125,S3,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P126,S14,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P127,,,GND,,,,,,,,,,,,
P128,A8,IBUF,IP_L06P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P129,A14,IBUF,IP_L06N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P130,S0,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P131,S1,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P132,S10,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P133,,,GND,,,,,,,,,,,,
P134,B4,IBUF,IO_L08P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P135,B13,IBUF,IO_L08N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
P136,,IBUF,IP,UNUSED,,0,,,,,,,,,
P137,,,VCCAUX,,,,,,,,2.5,,,,
P138,,,VCCO_0,,,0,,,,,2.50,,,,
P139,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
P140,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
P141,,IBUF,IP,UNUSED,,0,,,,,,,,,
P142,,DIFFM,IO_L10P_0,UNUSED,,0,,,,,,,,,
P143,,DIFFS,IO_L10N_0/HSWAP,UNUSED,,0,,,,,,,,,
P144,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
